word,tag
-,:
Lobster,NN
Roll,NN
:,:
Still,RB
one,CD
of,IN
my,PRP$
favourite,JJ
lobster,NN
roll,NN
places,NNS
",",","
and,CC
it,PRP
’,NNP
s,VBD
still,RB
yummy,VBN
like,IN
how,WRB
I,PRP
remembered,VBD
to,TO
be,VB
.,.
Huge,JJ
chunks,NNS
love,VBP
the,DT
bun,NN
The,DT
curly,JJ
fries,NNS
salad,VBP
on,IN
side,NN
were,VBD
good,JJ
too,RB
…,JJ
(,(
Translated,VBN
by,IN
Google,NNP
),)
Good,NNP
hamburgers,NNS
delicious,JJ
pale,JJ
ale,JJ
great,JJ
cocktails,NNS
Original,NNP
A,NNP
place,NN
celebrate,NN
for,IN
event,NN
celebration,NN
Food,NNP
service,NN
Value,NNP
money,NN
絕對是新加坡最好的法餐,NN
!,.
完全洗刷掉之前在台灣吃其客座的平庸印象,JJ
果然主場才是最好發揮主廚光芒的地方,NNP
Great,NNP
food,NN
&,CC
atmosphere,NN
Funny,NNP
chefs,NNS
staffs,NNS
that,IN
interacting,VBG
well,RB
with,IN
patrons,NNS
Can,MD
see,VB
passions,NNS
in,IN
their,PRP$
eyes,NNS
have,VBP
been,VBN
Hashida,NNP
Singapore,NNP
a,DT
couple,JJ
times,NNS
now,RB
am,VBP
so,RB
happy,JJ
discovered,VBN
this,DT
is,VBZ
authentic,JJ
staff,NN
are,VBP
very,RB
welcoming,VBG
One,CD
most,JJS
wonderful,JJ
lunch,NN
experiences,VBZ
We,PRP
had,VBD
5,CD
course,NN
meal,NN
few,JJ
glasses,NNS
wine,VBP
understand,JJ
why,WRB
was,VBD
hard,RB
make,JJ
reservation,NN
Only,RB
tried,VBD
burgers,NNS
but,CC
they,PRP
absolutely,RB
top,JJ
notch,NN
worth,NN
visits,NNS
crinkled,VBD
excellent,JJ
albeit,IN
wish,JJ
portion,NN
bit,NN
larger,JJR
fast,RB
Started,VBN
at,IN
high,JJ
finished,VBN
weird,JJ
cold,JJ
starters,NNS
pizza,VBP
short,JJ
ribs,NN
melts,NNS
your,PRP$
mouth,NN
lacks,NNS
flavor,VBP
cod,JJ
way,NN
salty,NN
taste,NN
desert,NN
just,RB
tasting,VBG
Steaks,NNP
Cocktails,NNP
dessert,NN
superb,NN
Beautiful,NNP
restaurant,NN
lovely,RB
ambiance,NN
from,IN
Evelyn,NNP
Amber,NNP
throughout,IN
Will,NNP
definitely,RB
back,RB
Its,PRP$
every,DT
reason,NN
got,VBD
promoted,VBN
recently,RB
ambience,RB
serviced,VBD
an,DT
awesome,JJ
team,NN
which,WDT
explained,VBD
dish,NN
Would,NNP
go,VB
again,RB
Hi,NNP
Mr,NNP
Jiro,NNP
Ono,NNP
what,WP
keeps,VBZ
you,PRP
up,RP
night,NN
?,.
Hashida…,NNP
Literally,NNP
best,JJS
ve,NN
ever,RB
Dishes,NNP
bursting,VBG
different,JJ
flavours,NNS
harmoniously,RB
Even,RB
Very,RB
impressive,JJ
defo,NN
return,NN
menu,NN
So,NNP
impressed,JJ
Nomads,NNP
placed,VBD
takeaway,RP
order,NN
beef,NN
rib,NN
sandwich,NN
wowed,VBD
meet,JJ
tender,NN
barely,RB
chew,JJ
yogurt,NN
sauce,VBP
generous,JJ
full,JJ
Amazing,NNP
experience,NN
Art,NNP
All,NNP
rounded,VBD
expertise,RB
thoughtful,JJ
impeccable,JJ
execution,NN
dishes,NNS
knowledgeable,JJ
And,CC
kudos,JJ
Alvin,NNP
who,WP
took,VBD
us,PRP
through,IN
each,DT
not,RB
recommend,VB
enough,RB
Delicious,NNP
start,VBP
finish,JJ
bisque,NN
blue,JJ
cheese,JJ
wagyu,NN
burger,NN
fish,JJ
chips,NNS
brownie,IN
all,DT
downsides,NNS
mains,NNS
quite,RB
small,JJ
price,NN
point,NN
beer,NN
selection,NN
limited,VBD
Fantastic,NNP
world,NN
8th,CD
has,VBZ
long,JJ
time,NN
customer,NN
friend,NN
atomi,VBZ
glad,VBZ
him,PRP
doing,VBG
evolution,NN
Sushi,NNP
since,IN
his,PRP$
initial,JJ
days,NNS
2nd,CD
floor,NN
Mandarin,NNP
Gallery,NNP
new,JJ
till,NN
joy,JJ
part,NN
journey,NN
Andrew,NNP
Tan,NNP
Sara,NNP
thank,VBD
support,NN
leaving,VBG
delightfully,RB
detailed,VBN
review,NN
re,NN
hear,VBP
enjoyed,VBN
Short,NNP
Rib,NNP
Sandwich,NNP
down,IN
last,JJ
loved,JJ
our,PRP$
desserts,NNS
as,IN
It,PRP
pleasure,VBZ
conversing,VBG
we,PRP
look,VBP
forward,RB
future,JJ
My,NNP
favorite,JJ
Start,NNP
Get,NNP
ask,JJ
Yakuza,NNP
anymore,RB
Thank,NNP
much,JJ
such,JJ
glowing,VBG
Chris,NNP
truly,RB
touched,VBD
kind,NN
words,NNS
will,MD
do,VB
keep,VB
delivering,NN
also,RB
strive,JJ
surpass,NN
Looking,VBG
hosting,VBG
soon,RB
-Team,NNP
Ibid,NNP
No,NNP
big,JJ
surprises,NNS
satisfactory,JJ
little,JJ
sushi,JJ
Burger,NNP
ok,MD
fantastic,JJ
Place,NNP
extremely,RB
hot,JJ
even,RB
though,IN
there,EX
room,NN
temperature,NN
32,CD
degrees,NNS
25,CD
Celebrated,NNP
wifes,NN
birthday,NN
resturant,JJ
ibid,NN
Chef,NNP
Woo,NNP
certainly,RB
did,VBD
disappoint,VB
creative,JJ
take,VB
chinese,JJ
cuisines,NNS
making,VBG
memorable,JJ
wife,NN
visit,NN
Excellent,NNP
services,NNS
Exceptional,NNP
two,CD
hours,NNS
exceptionally,RB
nicely,RB
prepared,JJ
presented,VBD
friendly,JJ
attentive,JJ
Must,NNP
try,VB
if,IN
opportunity,NN
surprise,VBP
cake,NN
macaroons,NNS
card,VBP
wedding,VBG
anniversary,JJ
Appreciate,NNP
come,NN
here,RB
mainly,RB
drinks,VBZ
Big,NNP
Jon,NNP
unforgettable,JJ
hospitality,NN
own,JJ
rights,NNS
when,WRB
ordered,VBD
serving,VBG
bread,NN
bone,NN
marrow,NN
dips,NNS
mind,VBP
blown,RP
What,WP
amazing,VBG
Superb,NNP
Not,RB
forgetting,VBG
burst,JJ
flavors,NNS
fresh,JJ
produce,VBP
perfectly,RB
paired,VBN
wines,NNS
curated,VBD
Glen,NNP
Harris,NNP
consumate,VBP
professional,JJ
warm,NN
He,PRP
made,VBD
enjoyable,JJ
Rovik,NNP
Wed,NNP
pamper,IN
further,JJ
Omakase-style,JJ
menus,NN
sometime,RB
Just,NNP
say,VBP
word,NN
happen,VB
view,NN
JW,NNP
Marriott,NNP
currently,RB
closed,VBD
operating,VBG
quarantine,NN
hotel,NN
Nice,NNP
nice,RB
comfortable,JJ
guest,JJS
14,CD
heads,NNS
actually,RB
opened,VBN
public,JJ
Wonderful,NNP
Lovely,RB
better,RBR
Ive,NNP
soft,JJ
toasted,VBD
meat,NN
thick,NN
flavorful,JJ
Pork,NNP
slab,NN
beyond,IN
...,:
Teranoid,NNP
pumped,VBD
both,DT
Restaurant,NNP
Were,NNP
working,VBG
change,NN
some,DT
Till,NNP
then,RB
stay,VB
safe,JJ
pleasant,NN
Every,NNP
balanced,VBD
refined,VBN
Little,NNP
details,NNS
use,VBP
Gin,NNP
pepper,NN
caramelized,VBD
signature,NN
Monkfish,NNP
liver,RB
demonstrated,VBD
effort,NN
bring,NN
Absolutely,RB
dining,VBG
—,PRP
beautiful,JJ
interiors,NNS
visually,RB
stunning,VBG
This,DT
second,JJ
m,NN
away,RB
Definitely,NNP
Diner,NNP
date,NN
8,CD
October,NNP
2021,CD
1pm,CD
popped,VBD
errands,NNS
oh,JJ
boy,JJ
Wife,NNP
no.1,MD
no.2,VB
touch,JJ
2,CD
servicing,NN
sizes,NNS
;,:
smaller,JJR
size,NN
discerning,NN
Had,NNP
outlet,NN
Jk,NNP
Yus,NNP
Tasty,NNP
especially,RB
recommended,VBD
Our,PRP$
unique,JJ
city,NN
known,VBN
its,PRP$
gastronomy,JJ
Second,JJ
never,RB
fails,VBZ
Leong,NNP
kindly,RB
provided,VBD
home,NN
baguette,NN
croissant,JJ
consumption,NN
next,JJ
day,NN
he,PRP
bespoke,VBD
expressed,VBN
Splendid,NNP
ingredients,NNS
affordable,JJ
can,MD
tasty,VB
sides,NNS
onion,JJ
rings,NNS
dope,VBP
First,NNP
$,$
130,CD
omakase,NN
Enjoy,NNP
Fresh,NNP
seafood,NN
watching,VBG
chef,NN
preparing,VBG
other,JJ
dine,NN
CUT,NNP
media,NNS
really,RB
amazed,JJ
exclusive,JJ
preview,NN
Kagoshima,NNP
any,DT
steak,JJ
connoisseur,NN
could,MD
cut,VB
mouth-watering,JJ
core,NN
Love,NNP
sliders,NNS
Wasabi,NNP
Potato,NNP
puree,VBP
anyone,NN
visiting,NN
Have,NNP
thrice,NN
havent,NN
go-to,JJ
Fish,NNP
Chips,NNP
flaky,NN
smashed,VBD
potato,JJ
rib-eye,JJ
par,NN
Desiree,NNP
compliments,NNS
delighted,VBD
distinctive,JJ
culinary,JJ
Lives,NNS
Michelin,NNP
star,VBD
more,JJR
thought,JJ
creativity,NN
put,VBD
into,IN
👏,NNP
Served,NNP
gave,VBD
recommendations,NNS
pleased,VBD
As,IN
always,RB
overall,JJ
below,IN
expectation,NN
michelin,NN
starred,VBD
4,CD
misses,NNS
reception,NN
wasnt,VBP
able,JJ
check,NN
vaccination,NN
status,NN
citing,VBG
faulty,NN
device,NN
If,IN
sure,JJ
diners,NNS
turned,VBD
out,RP
requiring,VBG
Adventurous,JJ
flavour,JJ
combinations,NNS
unpretentious,JJ
vibes,NNS
They,PRP
man,NN
worked,VBD
deliver,JJ
dinner,NN
constant,JJ
flow,NN
banter,NN
deserving,VBG
3,CD
stars,NNS
Felt,NNP
rich,JJ
eating,VBG
reminds,NNS
LA,NNP
only,RB
thing,NN
missing,VBG
perfect,JJ
weather,NN
char,NN
patty,NN
done,VBN
special,JJ
celebratory,NN
arrangements,NNS
Central,NNP
Asia,NNP
17,CD
probably,RB
need,VBP
skip,NNS
breakfast,NN
before,IN
Jaan,NNP
Kirk,NNP
Westaway,NNP
requested,VBD
window,RBR
table,JJ
manage,NN
get,NN
corner,NN
Awesome,NNP
Steak,NNP
right,NN
or,CC
than,IN
famous,JJ
restaurants,NNS
soup,NN
Came,NNP
discount,NN
Interesting,NNP
available,JJ
Patty,NNP
seared,VBD
crispy,JJ
crust,NN
Overall,NNP
would,MD
maybe,RB
Fabulous,NNP
occasion,NN
Patatas,NNP
Bravad,NNP
100,CD
%,NN
required,VBN
steaks,JJ
Staff,NNP
extra,JJ
fault,NN
Sourav,NNP
Odyssey,NNP
Fire,NNP
powered,VBD
whole,JJ
esoteric,JJ
gets,VBZ
fishes,NNS
Japan,NNP
SG,NNP
You,PRP
same,JJ
anywhere,RB
else,RB
interior,RB
Loved,VBN
where,WRB
liked,VBN
single,JJ
Some,DT
add,VBP
odd,JJ
twist,JJ
things,NNS
fancy,JJ
simple,JJ
expect,VBP
first,JJ
everything,NN
expected,VBN
location,NN
itself,PRP
National,NNP
gives,VBZ
air,NN
class,NN
decor,NN
splendid,VBD
feel,VB
nothing,NN
shone,NN
average,NN
reliant,JJ
Japanese,JJ
lack,NN
focus,VBP
quality,NN
Adrian,JJ
action,NN
packed,VBD
stoked,JJ
parts,NNS
about,IN
months,NNS
meals,NNS
far,RB
Sato-san,JJ
delight,JJ
particularly,RB
To,TO
fair,VB
lucky,JJ
house,NN
Attentive,NNP
chill,NN
casual,JJ
oysters,NNS
mussels,NNS
Wanted,VBD
somehow,RB
underwhelming,JJ
hoping,VBG
off,RP
twister,NN
over,IN
fried,JJ
left,JJ
bad,JJ
greasy,NN
Stunning,NNP
brilliant,NN
thats,NNS
pretentious,JJ
stuffy,JJ
Each,DT
takes,VBZ
elevates,VBZ
them,PRP
ways,NNS
unimaginable,JJ
deserve,NN
Asian,NNP
Mind,NNP
blowing,NN
business,NN
Went,NNP
multiple,JJ
family,NN
friends,NNS
colleagues,NNS
Never,NNP
impress,VBP
1,CD
executive,NN
set,VBN
potion,NN
joke,NN
bite,NN
main,JJ
appetiser,NN
fishy,NN
beaf,NN
served,VBD
half,NN
possibly,RB
number,NN
Meat,NNP
juicy,NN
seasoned,VBD
veggies,NNS
neatly,RB
OUTSIDE,NNP
celebrated,VBD
10th,CD
hosted,VBN
Angie,NNP
Kim,NNP
me,PRP
Maryland,NNP
crab,NN
basil,NN
aioli,NN
provides,VBZ
acidity,NN
setting,VBG
While,IN
true,JJ
aim,NN
#,#
reinventingbritish,JJ
felt,VBD
stale,JJ
direct,JJ
comparison,NN
pairing,VBG
incredible,JJ
note,NN
2005,CD
Etna,NNP
Bianco,NNP
Arcuria,NNP
steamed,VBD
scallop,JJ
Calm,NNP
peaceful,NN
Italian,JJ
cuisine,NN
Wondering,VBG
7,CD
courses,NNS
Recommend,NNP
Athina,NNP
guests,VBZ
Akira,NNP
Back,NNP
Omakase,NNP
varying,VBG
tastes,NNS
textures,NNS
rice,VBP
deserves,NNS
mention,VBP
fluffy,JJ
sticky,JJ
coming,VBG
fun,NN
group,NN
quasi,JJ
private,JJ
Hope,NNP
tennis,NN
following,VBG
Menu,NNP
should,MD
changing,VBG
slightly,RB
boyfriend,VBP
chosen,VBN
Odette,NNP
wonderfully,RB
planned,VBD
degustation,NN
light,NN
taking,VBG
palate,JJ
heights,NNS
after,IN
issue,NN
cramp,NN
loud,JJ
everyone,NN
starts,VBZ
talking,VBG
three,CD
rooms,NNS
does,VBZ
guarantee,JJ
seat,NN
Kenjiro,NNP
service👍Would,MD
think,VB
ART,NNP
Regardless,NNP
talented,VBD
dietary,JJ
restrictions,NNS
Incredible,JJ
highly,RB
Mapo,NNP
tofu,NN
soooooo,NN
positive,JJ
Trail,NNP
Ablaze,NNP
intricate,VB
well-executed,JJ
items,NNS
beshbarmak,IN
tongue,NN
server/manager,NN
because,IN
foods,NNS
modern,JJ
Desserts,NNP
Ryan,NNP
Kay,NNP
super,VBZ
periodically,RB
Impeccable,JJ
Sarah,NNP
host,NN
Beshbarmak,NNP
Kazakhstan,NNP
national,JJ
version,NN
local,JJ
bak,NN
kut,NN
teh,IN
broth,DT
Your,NNP
welcome,NN
Chefs,NNP
curate,NN
according,VBG
requirements,NNS
appreciate,JJ
feedback,NN
passed,VBD
message,NN
onto,IN
supporting,VBG
Honestly,NNP
February,NNP
sister,NN
parents,NNS
expression,NN
“,NNP
Wow,NNP
”,NNP
understatement,JJ
purist,NN
sashimi,NN
freshest,JJS
unaltered,JJ
Hatch,NNP
shared,VBD
conceptualized,VBN
deco,NN
efforts,NNS
fabricate,VBP
ceiling,NN
must,MD
week,NN
Also,RB
mapo,VBD
saying,VBG
goodbye,NN
See,NNP
milkshakes,NNS
But,CC
Ill,NNP
weekday,VBP
promo,JJ
deal,NN
vouchers,NNS
offered,VBD
Chope,NNP
Decided,NNP
Cut,NNP
although,IN
while,IN
want,JJ
mentioned,VBD
address,NN
name,NN
Quality,NNP
Ambience,NNP
Price,NNP
Last,JJ
these,DT
rare,JJ
dinners,NNS
no,DT
choice,NN
definition,NN
gluttony,NN
🤪,NNP
interesting,JJ
compositions,NNS
22,CD
tad,NNS
risotto,VBP
cheek,JJ
sensational,JJ
Pretty,NNP
presentation,NN
rendered,VBD
hour,NN
Really,NNP
paid,VBD
68sgd,CD
four,CD
weekend,NN
Stumbled,VBD
upon,JJ
Market,NNP
Grill,NNP
looking,VBG
near,IN
office,NN
Im,NNP
Perfect,NNP
JK,NNP
care,NN
during,IN
polite,JJ
👍,CD
Top,NNP
phenomenal,NN
accommodating,VBG
lockdown,JJ
Chinese,NNP
New,NNP
Year,NNP
Always,NNP
outstanding,JJ
Yummy,NNP
standard,NN
Highly,NNP
Awww,NNP
went,VBD
conclude,NN
treated,VBN
lot,NN
goodies,NNS
appreciated,VBD
118++,CD
today,NN
bites,NNS
crew,VBD
displayed,JJ
towards,NNS
requirement,NN
Appreciated,NNP
head,NN
Peter,NNP
leave,VBP
Plov,NNP
Wagyu,NNP
favourites,VBZ
valuable,JJ
relayed,JJ
consideration,NN
forwarding,VBG
ago,RB
7-course,CD
reccomended,VBD
Drink,NNP
town,NN
10/10,CD
Burgers,NNPS
Enjoyed,NNP
brioches,NNS
buns,VBP
cheap,JJ
bottles,NNS
obviously,RB
didnt,VBP
let,VB
Right,NNP
until,IN
stepped,VBD
element,JJ
innovative,NN
without,IN
falling,VBG
molecular,JJ
adapted,VBN
pretty,RB
There,EX
space,NN
between,IN
tables,NNS
easy,JJ
conversation,NN
within,IN
party,NN
pity,NN
unavailable,JJ
However,RB
daily,JJ
specials,NNS
blows,VBZ
explanation,NN
putting,VBG
homely,RB
environment,NN
Certainly,RB
close,RB
end,JJ
Left,NNP
satisfied,VBD
Bagus,NNP
Dinner,NNP
flight,NN
Promised,VBD
booking,NN
assigned,VBN
middle,RB
surrounded,VBN
Next,NNP
server,NN
dropped,VBD
butter,JJR
tray,NN
shockingly,RB
proceeded,VBD
serve,NN
Urvashi,NNP
across,IN
Silk,NNP
Road,NNP
highlighted,VBD
Beef,NNP
Smoked,NNP
Herring,NNP
filo,JJ
tart,NN
Nomadic,NNP
specially,RB
crafted,VBD
pair,JJ
Thanks,NNP
recommending,VBG
Kri,NNP
ww1,NN
scrambled,VBD
eggs,JJ
sausage,NN
mushy,NN
supposed,VBD
Hash,NNP
brown,IN
potato-ey,JJ
waffles,NNS
meh,NNS
outside,IN
When,WRB
learnt,JJ
sceptical,JJ
European,JJ
fine,NN
French,JJ
Spanish,JJ
blew,NN
Daniele,NNP
brought,VBD
together,RB
cultures,NNS
base,VBP
Service,NNP
delightful,JJ
traditional,JJ
***king,VBG
Theyre,NNP
booked,VBD
6-8,JJ
weeks,NNS
plan,NN
ahead,RB
An,DT
solid,JJ
Devoured,NNP
Friendly,NNP
yet,RB
chicken,VBP
wings,NNS
milk,NN
shake,VBP
doneness,NN
juicier,NN
honest,JJS
variety,NN
freshness,NN
Alisa,NNP
energetic,JJ
connection,NN
British,NNP
For,IN
however,RB
improved,VBN
being,VBG
hubby,JJ
n,NN
Marys,NNP
her,PRP$
b,NN
Art.The,NNP
beautifully,RB
matched.Like,VBZ
artistically,RB
added,VBN
WILL,NNP
DEFINITELY,NNP
BE,NNP
BACK,NNP
FOR,NNP
MORE,NNP
Star,NNP
helmed,VBD
Julien,NNP
needs,NNS
introduction,NN
sip,NN
Uni,NNP
Caviar,NNP
opt,MD
indulgence,VB
Bon,NNP
appetit,NN
Took,NNP
chope,NN
large,JJ
filling,VBG
marvellous,JJ
Pallavi,NNP
taken,VBN
tastebuds,JJ
infinity,NN
Slightly,RB
overpriced,VBD
oily,RB
smell,JJ
Angus,NNP
entrusting,VBG
privilege,NN
help,NN
commemorate,VB
occasions,NNS
upcoming,VBG
projects,NNS
1.5,CD
transported,JJ
Boston,NNP
moment,NN
busy,JJ
Tradition,NNP
build,NN
may,MD
bound,VB
propel,VB
san,JJ
pushes,NNS
boundaries,NNS
sacred,VBD
establish,VB
mastery,NN
humility,NN
lotsa,VBP
humor,NN
Congratulations,NNP
once,RB
cocktail,JJ
list,NN
extensive,JJ
Anyone,NNP
tells,VBZ
otherwise,RB
kill,JJ
challenge,NN
buds,NNS
orgasm,VBP
something,NN
stick,NN
around,RP
PERMANENTLY,NNP
Favourite,NNP
ambient,JJ
5-course,JJ
Executive,NNP
Lunch,NNP
Sunday,NNP
pricing,VBG
relatively,RB
reasonable,JJ
informative,JJ
entire,JJ
session,NN
entertaining,NN
sublime,JJ
``,``
Number,NNP
Three,NNP
'',''
brioche,NN
touching,VBG
adds,VBZ
delectable,JJ
texture,NN
complain,NN
trying,VBG
find,VB
..,JJ
Is,NNP
complaint,NN
senses,NNS
don,VBP
t,JJ
48++,CD
wished,JJ
waiter,NN
Mary,NNP
Australian,NNP
ribeye,NN
Paired,NNP
Exceed,NNP
Unique,NNP
penny,NN
Cant,NNP
wait,NN
Tian,NNP
killer,NNP
hope,VBP
Yes,NNP
Thats,NNP
past,IN
art,NN
shown,VBN
Make,NNP
decorations,NNS
twice,RB
JAAN,NNP
enter,NN
recommendation,NN
🍾🍾🍾🍀🍀🍀💐💐💐❤️❤️❤️,NNP
waitstaff,NN
pigeon,NN
exquisitely,RB
impression,JJ
queue,NN
Around,IN
30,CD
mins,NNS
waiting,VBG
730,CD
pm,NN
accept,NN
venue,NN
gathering,VBG
Black,NNP
miso,NN
prawn,NN
tempura,NN
Tuna,NNP
Mushroom,NNP
surprisingly,RB
expectations…,VBZ
4-course,JJ
Youll,NNP
amuse-bouche,NN
downside,NN
charge,NN
water,NN
Thoroughly,NNP
combination,NN
familiar,JJ
pick,JJ
duck,NN
cooked,VBD
Look,NNP
Cosy,NNP
balcony,NN
overlooking,VBG
Padang,NNP
MBS,NNP
dusk,NN
evening,VBG
detail,NN
description,NN
plus,CC
ist,JJ
Larissa,NNP
humbled,VBD
named,VBN
having,VBG
loving,VBG
ubiquitous,JJ
roast,NN
going,VBG
tweaking,VBG
Do,NNP
know,VB
reservations,NNS
prepare,VB
1st,CD
31st,CD
July,NNP
sauces,NNS
used,VBD
elevated,JJ
allowing,VBG
savour,JJ
Dessert,NNP
sweet,NN
exactly,RB
year,NN
later,RB
Pleased,VBD
question,NN
consistency,NN
remains,VBZ
personable,JJ
genuine,JJ
Special,NNP
shout,NN
Philip,NNP
Steven,NNP
addition,NN
Amoy,NNP
His,PRP$
nicest,JJS
Worth,JJ
Best,NNP
meats,NNS
clever,VBP
music,NN
Eye,NNP
watering,NN
prices,NNS
Brought,NNP
mother,NN
thoroughly,RB
Flavours,NNP
Although,IN
fan,NN
Chinese/,NNP
Waileongs,NNP
smart,JJ
squid,NN
ambience..,VBP
Different,NNP
japanese,JJ
experience..,VBP
Innovative,JJ
fusion,NN
Russian,NNP
young,JJ
accompanied,VBD
Reserved,NNP
online,NN
Called,VBN
confirm,NN
Paid,NNP
deposit,NN
Follow,NNP
email..,NN
important,JJ
i,NN
wanted,VBD
goes,VBZ
wrong,JJ
excellently,RB
medium,VBP
lettuce,VB
yourself,PRP
crunchiness,JJ
Theres,VBZ
craft-your-own,JJ
allows,NNS
enchanting,VBG
led,VBD
another,DT
organisation,NN
cogent,NN
thought-out,NN
partner,NN
66,CD
market,NN
Rangers,NNP
Valley,NNP
Tritip,NNP
200gm,CD
47,CD
done-ness,JJ
Wait,NNP
30min,CD
Reservations,NNP
~1900-ish,JJ
member,NN
looks,VBZ
closely,RB
customers,NNS
On,IN
noticed,JJ
stomach,NN
suggested,VBD
break,JJ
properly,RB
Cozy,NNP
attention,NN
😊😋😁,NNP
seasoning,VBG
Beruthiel,NNP
pass,NN
along,IN
secret,JJ
Kafé,NNP
Samsa,NNP
café,NN
front,NN
sometimes,RB
bar,NN
takeovers,NNS
Plenty,NNP
weve,VBP
sat,JJ
Maggie,NNP
sommelier,NN
Chua,NNP
manger,NN
whos,VBD
9,CD
bringing,VBG
mom,NN
enjoy,NN
introduce,VBP
importantly,RB
cooking,VBG
came,VBD
opted,VBN
Degustation,NNP
roughly,RB
1/2,CD
Marina,NNP
Bay,NNP
starters..but,NN
less,JJR
salt,JJ
broccoli,NN
unusual,JJ
nicer,NN
chain,NN
aare,NN
sliced,VBD
onions,NNS
major,JJ
letdown-,JJ
buttered,VBN
wasn,JJ
thigh,NN
stated,VBD
lacking,VBG
terms,NNS
value,NN
Hokkaido,NNP
Given,NNP
hype,VBD
reviews,NNS
sadly,RB
hit,VBD
miss,JJ
Biggest,NNP
disappointment,NN
establishment,NN
fact,NN
pour,VBP
myself,PRP
refill,VB
girlfriend,JJ
life,NN
given,VBN
settings,NNS
revisit,VBP
Kudos,NNP
Dear,NNP
Mr.,NNP
Ren,NNP
sorry,JJ
